Dataset,HoursBeforeSepsis,PatientObservations,UniquePatients,HR_Mean,HR_Median,HR_MissingPct,O2Sat_Mean,O2Sat_Median,O2Sat_MissingPct,Temp_Mean,Temp_Median,Temp_MissingPct,SBP_Mean,SBP_Median,SBP_MissingPct,MAP_Mean,MAP_Median,MAP_MissingPct,DBP_Mean,DBP_Median,DBP_MissingPct,Resp_Mean,Resp_Median,Resp_MissingPct,EtCO2_Mean,EtCO2_Median,EtCO2_MissingPct,BaseExcess_Mean,BaseExcess_Median,BaseExcess_MissingPct,HCO3_Mean,HCO3_Median,HCO3_MissingPct,FiO2_Mean,FiO2_Median,FiO2_MissingPct,pH_Mean,pH_Median,pH_MissingPct,PaCO2_Mean,PaCO2_Median,PaCO2_MissingPct,SaO2_Mean,SaO2_Median,SaO2_MissingPct,AST_Mean,AST_Median,AST_MissingPct,BUN_Mean,BUN_Median,BUN_MissingPct,Alkalinephos_Mean,Alkalinephos_Median,Alkalinephos_MissingPct,Calcium_Mean,Calcium_Median,Calcium_MissingPct,Chloride_Mean,Chloride_Median,Chloride_MissingPct,Creatinine_Mean,Creatinine_Median,Creatinine_MissingPct,Bilirubin_direct_Mean,Bilirubin_direct_Median,Bilirubin_direct_MissingPct,Glucose_Mean,Glucose_Median,Glucose_MissingPct,Lactate_Mean,Lactate_Median,Lactate_MissingPct,Magnesium_Mean,Magnesium_Median,Magnesium_MissingPct,Phosphate_Mean,Phosphate_Median,Phosphate_MissingPct,Potassium_Mean,Potassium_Median,Potassium_MissingPct,Bilirubin_total_Mean,Bilirubin_total_Median,Bilirubin_total_MissingPct,TroponinI_Mean,TroponinI_Median,TroponinI_MissingPct,Hct_Mean,Hct_Median,Hct_MissingPct,Hgb_Mean,Hgb_Median,Hgb_MissingPct,PTT_Mean,PTT_Median,PTT_MissingPct,WBC_Mean,WBC_Median,WBC_MissingPct,Fibrinogen_Mean,Fibrinogen_Median,Fibrinogen_MissingPct,Platelets_Mean,Platelets_Median,Platelets_MissingPct
Dataset A,-24,949,949,89.11896745230078,88.0,6.111696522655427,97.344688221709,98.0,8.74604847207587,37.102222222222224,37.11,72.49736564805059,122.98177749360613,120.0,17.597471022128556,80.41998842592592,79.0,8.956796628029505,61.35819672131147,60.0,35.721812434141206,20.580102622576966,20.0,7.586933614330875,,,100.0,-0.4658119658119658,0.0,87.67123287671232,24.129411764705882,24.0,91.04320337197049,0.522192513368984,0.5,80.29504741833509,7.386147540983607,7.4,87.14436248682824,41.06989247311828,40.0,90.20021074815595,92.13,97.0,94.73129610115912,270.55555555555554,100.0,98.10326659641728,29.107142857142858,22.0,91.14857744994731,140.1578947368421,77.0,97.99789251844047,8.441379310344827,8.3,93.88830347734456,106.52941176470588,106.0,91.04320337197049,1.5432835820895523,1.0,92.9399367755532,,,100.0,130.58333333333334,126.5,87.98735511064278,2.388888888888889,1.85,94.30979978925184,2.04320987654321,2.0,91.46469968387777,3.7157894736842105,3.4,93.99367755532138,4.0852941176470585,4.05,89.2518440463646,5.426315789473684,0.7,97.99789251844047,,,100.0,30.95514018691589,30.0,88.72497365648051,10.661764705882353,10.5,91.04320337197049,41.05111111111111,34.4,95.25816649104321,13.373684210526317,12.5,91.99157007376185,248.57142857142858,217.0,99.26238145416228,191.73015873015873,181.0,93.36143308746048
Dataset A,-23,972,972,88.57399347116431,88.5,5.4526748971193415,97.37837837837837,98.0,8.641975308641975,37.17572847682119,37.185,68.93004115226337,122.33128834355828,120.0,16.152263374485596,79.5736877076412,78.0,7.098765432098765,60.97244408945687,59.75,35.59670781893004,20.395143487858718,20.0,6.790123456790123,,,100.0,-0.8113207547169812,0.0,89.09465020576131,23.7012987012987,24.0,92.07818930041152,0.5244166666666666,0.5,75.30864197530865,7.384695652173913,7.4,88.16872427983539,39.31707317073171,39.0,91.56378600823045,91.62790697674419,96.0,95.57613168724279,531.1176470588235,37.0,98.25102880658436,33.03846153846154,26.5,91.9753086419753,90.0625,79.0,98.35390946502058,8.225000000000001,8.1,94.65020576131687,106.07792207792208,106.0,92.07818930041152,1.923728813559322,1.1,93.93004115226337,0.4,0.4,99.8971193415638,131.07291666666666,130.0,90.12345679012346,2.390909090909091,1.75,96.60493827160494,2.1370370370370373,2.1,91.66666666666666,3.8277777777777775,3.3,94.44444444444444,4.018041237113402,3.9,90.02057613168725,5.82,1.75,98.97119341563786,9.6,9.6,99.8971193415638,29.86063829787234,29.700000000000003,90.3292181069959,10.16357142857143,10.1,92.79835390946502,45.90487804878049,35.3,95.78189300411523,13.313793103448276,11.25,94.03292181069959,264.6,151.0,99.48559670781893,208.70454545454547,169.0,95.47325102880659
Dataset A,-22,984,984,88.51125401929261,88.0,5.182926829268292,97.45409836065573,98.0,7.01219512195122,37.06918918918919,37.1,62.398373983739845,123.43070818070818,121.5,16.76829268292683,79.51931147540985,79.0,7.01219512195122,61.59384858044164,60.0,35.56910569105691,20.453362255965292,20.0,6.300813008130081,,,100.0,0.19421487603305784,0.0,87.70325203252033,23.871794871794872,23.5,92.07317073170732,0.50828125,0.5,73.98373983739837,7.39563492063492,7.4,87.1951219512195,41.810679611650485,40.0,89.53252032520325,90.48936170212765,96.0,95.22357723577237,470.3529411764706,58.0,98.27235772357723,35.06410256410256,26.0,92.07317073170732,104.88235294117646,92.0,98.27235772357723,8.149999999999999,8.1,94.71544715447155,105.33333333333333,106.0,91.76829268292683,1.9639344262295082,1.2,93.80081300813008,0.4,0.4,99.89837398373984,138.355,126.5,89.83739837398373,1.9806122448979595,1.7,95.02032520325203,2.0595238095238093,2.0,91.46341463414635,3.8875,3.4,94.3089430894309,4.041584158415842,4.0,89.73577235772358,1.3461538461538463,0.8,98.6788617886179,,,100.0,30.204500000000003,29.85,89.83739837398373,10.403246753246753,10.1,92.17479674796748,42.93,32.2,94.91869918699187,13.091044776119402,12.7,93.1910569105691,241.5,242.5,99.59349593495935,212.65384615384616,208.0,94.71544715447155
Dataset A,-21,1004,1004,88.42706131078224,89.0,5.776892430278884,97.383658008658,98.0,7.968127490039841,37.16981132075472,37.22,68.32669322709162,123.41856287425149,120.5,16.83266932270916,80.09771213748658,79.0,7.270916334661355,61.70647149460709,61.0,35.3585657370518,20.316129032258065,20.0,7.370517928286853,,,100.0,-0.17647058823529413,0.0,88.14741035856574,22.779411764705884,24.0,93.22709163346613,0.5134529147982063,0.5,77.78884462151395,7.385609756097561,7.4,87.74900398406375,42.136842105263156,41.0,90.5378486055777,94.67708333333333,97.0,95.2191235059761,366.6666666666667,79.5,98.80478087649402,30.03030303030303,22.5,93.42629482071713,134.41666666666666,92.0,98.80478087649402,8.129999999999999,8.0,96.01593625498009,105.23571428571428,106.0,93.02788844621513,1.1565217391304348,0.9,95.4183266932271,7.9,7.9,99.9003984063745,131.1887755102041,126.0,90.2390438247012,2.436792452830189,1.8,94.7211155378486,2.062686567164179,2.0,93.32669322709162,3.5368421052631582,3.2,96.21513944223108,4.137096774193548,4.0,90.73705179282868,3.3625000000000003,1.4,99.20318725099602,12.1,12.1,99.9003984063745,30.408988764044945,29.3,91.13545816733067,10.491176470588236,10.2,93.22709163346613,44.24285714285715,37.7,96.51394422310757,11.698181818181817,10.0,94.52191235059762,225.5,193.0,99.60159362549801,204.52272727272728,162.0,95.61752988047809
Dataset A,-20,1022,1022,88.20125786163523,87.75,6.653620352250488,97.38311688311688,98.0,9.58904109589041,37.096267123287674,37.14,71.42857142857143,122.78228672985782,120.0,17.416829745596868,79.9724332977588,79.0,8.317025440313111,61.45290964777948,60.0,36.10567514677104,20.37473572938689,20.0,7.436399217221135,,,100.0,-0.3409090909090909,0.0,87.08414872798434,24.247191011235955,24.0,91.29158512720157,0.5299130434782608,0.5,77.49510763209393,7.387681159420291,7.39,86.49706457925636,40.655660377358494,40.0,89.62818003913894,92.22826086956522,96.0,95.49902152641879,176.32,40.0,97.55381604696673,28.818181818181817,23.0,91.3894324853229,166.8,101.0,97.55381604696673,8.4734375,8.45,93.73776908023484,104.75824175824175,105.0,91.0958904109589,1.6945945945945946,1.1,92.75929549902152,,,100.0,132.77692307692308,125.0,87.279843444227,2.7191489361702126,1.9,95.40117416829746,2.0123595505617975,2.0,91.29158512720157,3.613432835820896,3.4,93.44422700587084,4.104621848739495,4.0,88.35616438356165,3.655,1.05,98.04305283757338,34.3,34.3,99.90215264187867,29.700434782608696,29.0,88.74755381604696,10.178313253012048,10.0,91.87866927592955,42.058928571428574,35.0,94.52054794520548,11.11891891891892,9.4,92.75929549902152,348.44444444444446,275.0,99.11937377690802,203.44444444444446,181.0,93.83561643835617
Dataset A,-19,1045,1045,87.83144912641316,87.0,6.889952153110047,97.38771186440678,98.0,9.665071770334928,37.13589905362777,37.22,69.66507177033493,122.1168414918415,120.5,17.894736842105264,79.72397476340694,79.0,8.995215311004785,60.877061469265364,60.0,36.17224880382775,20.266423357664234,20.0,8.229665071770336,,,100.0,-0.3782608695652174,0.0,88.99521531100478,23.510416666666668,23.0,90.8133971291866,0.5233039647577092,0.5,78.2775119617225,7.3787199999999995,7.39,88.03827751196172,41.994565217391305,40.0,91.19617224880383,90.64634146341463,97.0,96.07655502392345,472.7916666666667,41.5,97.70334928229664,27.540816326530614,23.0,90.622009569378,128.95833333333334,88.0,97.70334928229664,8.11969696969697,8.1,93.6842105263158,105.78061224489795,106.0,90.622009569378,1.595945945945946,1.05,92.91866028708135,2.8,2.8,99.90430622009569,138.87610619469027,130.0,89.18660287081339,2.215217391304348,1.5,95.59808612440192,2.0553921568627453,2.05,90.23923444976076,3.274242424242424,3.1,93.6842105263158,4.0910569105691055,4.0,88.22966507177034,4.013333333333334,0.6,98.56459330143541,19.7,19.7,99.90430622009569,30.16952380952381,29.5,89.95215311004785,10.164044943820224,9.9,91.48325358851675,43.98125000000001,35.1,95.40669856459331,12.397560975609755,10.6,92.15311004784688,434.125,213.5,99.23444976076556,198.671875,195.0,93.8755980861244
Dataset A,-18,1064,1064,87.7976071784646,87.0,5.733082706766917,97.45169578622816,98.0,8.552631578947368,37.11237851662404,37.17,63.25187969924813,121.8196166854566,120.0,16.63533834586466,79.1537142857143,77.67,7.894736842105263,61.14927536231884,60.0,35.150375939849624,20.269016227180526,20.0,7.330827067669173,,,100.0,-0.21621621621621623,0.0,86.09022556390977,23.653465346534652,24.0,90.50751879699249,0.5134408602150538,0.5,73.7781954887218,7.387142857142858,7.39,85.52631578947368,40.295833333333334,39.0,88.7218045112782,90.29787234042553,97.0,95.5827067669173,446.0,53.5,97.74436090225564,26.474747474747474,21.0,90.69548872180451,130.1304347826087,89.0,97.83834586466166,8.164705882352942,8.1,93.60902255639097,105.52427184466019,106.0,90.31954887218046,1.511111111111111,0.8500000000000001,93.23308270676691,3.0999999999999996,3.6999999999999997,99.62406015037594,136.9126984126984,126.0,88.1578947368421,2.3525,1.6,94.3609022556391,2.0076923076923077,2.0,90.22556390977444,3.5820895522388057,3.3,93.703007518797,4.00077519379845,4.0,87.87593984962406,3.15,0.8500000000000001,98.49624060150376,7.3,7.3,99.90601503759399,30.411481481481477,29.8,87.31203007518798,10.405045871559635,10.1,89.75563909774436,45.09423076923077,35.1,95.11278195488721,14.560204081632653,11.55,90.78947368421053,299.5,255.0,99.24812030075188,208.1081081081081,171.5,93.04511278195488
Dataset A,-17,1085,1085,87.82707509881423,88.0,6.728110599078341,97.36836734693877,98.0,9.67741935483871,37.1181981981982,37.11,69.30875576036867,121.84288097886541,120.5,17.142857142857142,79.07027300303336,77.0,8.847926267281107,61.034320809248555,60.0,36.22119815668203,20.31973816717019,20.0,8.479262672811059,,,100.0,0.037162162162162164,0.0,86.35944700460828,24.5,25.0,89.86175115207374,0.516910569105691,0.5,77.32718894009216,7.399166666666667,7.41,85.62211981566821,40.24122807017544,39.0,89.49308755760369,95.70212765957447,97.0,95.66820276497697,360.5,64.0,97.78801843317973,30.234234234234233,23.0,89.76958525345621,145.84615384615384,89.0,97.6036866359447,8.326744186046511,8.3,92.07373271889401,105.625,107.0,89.6774193548387,1.4189473684210527,1.0,91.24423963133641,6.5,6.5,99.90783410138249,127.88492063492063,126.0,88.38709677419355,2.327397260273972,1.7,93.27188940092167,2.0981481481481485,2.1,90.04608294930875,3.6170454545454547,3.3,91.88940092165898,4.06694214876033,4.0,88.84792626728111,5.331818181818182,1.75,97.97235023041475,,,100.0,30.064598540145987,29.6,87.37327188940091,10.44375,10.1,89.6774193548387,41.72898550724638,33.4,93.6405529953917,13.564705882352941,11.2,90.59907834101382,319.1111111111111,283.0,99.17050691244239,191.63333333333333,169.5,91.70506912442397
Dataset A,-16,1102,1102,87.9657004830918,87.0,6.0798548094373865,97.43019801980198,98.0,8.348457350272232,37.13448051948052,37.17,72.0508166969147,121.91294885745376,119.0,16.60617059891107,78.69323558162267,77.5,7.168784029038113,60.58787661406026,60.0,36.7513611615245,20.24705882352941,19.5,7.441016333938294,,,100.0,0.32978723404255317,0.0,87.20508166969148,24.72463768115942,24.0,87.47731397459165,0.527265306122449,0.5,77.76769509981851,7.400718954248366,7.41,86.11615245009074,40.29545454545455,40.0,90.01814882032669,90.89622641509433,96.0,95.19056261343013,142.83870967741936,47.0,97.1869328493648,27.600719424460433,21.0,87.38656987295825,101.64516129032258,83.0,97.1869328493648,8.195652173913043,8.2,91.65154264972777,105.54676258992805,106.0,87.38656987295825,1.5441176470588236,0.95,90.74410163339383,3.8,3.8,99.8185117967332,128.61724137931034,124.0,86.8421052631579,2.2838983050847457,1.4,94.64609800362976,2.0414814814814815,2.0,87.74954627949182,3.6242105263157898,3.5,91.37931034482759,4.05566037735849,4.0,85.57168784029038,4.525,1.35,98.18511796733212,,,100.0,29.070714285714285,28.85,87.29582577132487,9.950000000000001,9.7,88.92921960072596,41.981967213114764,31.7,94.46460980036298,11.625217391304346,10.5,89.5644283121597,255.75,243.5,99.27404718693285,196.74725274725276,199.0,91.74228675136116
Dataset A,-15,1130,1130,87.91895734597156,87.0,6.637168141592921,97.423828125,98.0,9.380530973451327,37.16031609195402,37.17,69.20353982300885,122.72529538131042,121.0,17.61061946902655,79.23722972972972,78.0,8.31858407079646,60.829658605974394,59.0,37.78761061946903,20.36431316042267,20.0,7.876106194690266,,,100.0,0.6634615384615384,0.0,86.19469026548673,24.20863309352518,24.0,87.69911504424779,0.5149212598425197,0.49,77.5221238938053,7.395928143712574,7.4,85.2212389380531,42.16532258064516,41.0,89.02654867256638,93.97619047619048,97.0,94.42477876106194,113.05882352941177,66.5,96.99115044247787,31.161971830985916,22.0,87.43362831858407,94.7741935483871,81.0,97.2566371681416,8.194736842105263,8.2,91.5929203539823,105.83916083916084,106.0,87.34513274336283,1.6603773584905661,1.05,90.61946902654867,1.45,0.9,99.64601769911503,135.6523178807947,129.0,86.63716814159292,2.20625,1.5,95.04424778761062,2.077142857142857,2.0,87.61061946902655,3.6265306122448977,3.2,91.32743362831859,4.092073170731707,4.05,85.48672566371681,3.993103448275862,1.1,97.43362831858407,,,100.0,30.07019867549669,29.2,86.63716814159292,10.243609022556392,10.1,88.23008849557522,37.860240963855425,31.9,92.65486725663716,12.238582677165356,10.6,88.76106194690266,248.22222222222223,217.0,99.20353982300884,212.82828282828282,191.0,91.23893805309734
